sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:50:24","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:25","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:50:28","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:32","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:33","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:33","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:34","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:35","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:35","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:36","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:36","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:37","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:37","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:38","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:38","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:41","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:50:41","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:42","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:50:45","GT-I9515 - 1a88bbcf523c933c","37"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:50:46","GT-I9515 - 1a88bbcf523c933c","37"
